Symbol,Country,Company
ASTERDM.NS,India,Aster DM Healthcare Limited
RHIM.NS,India,RHI MAGNESITA INDIA LIMITED
KEC.NS,India,KEC International Limited
SONATSOFTW.NS,India,Sonata Software Limited
AETHER.NS,India,Aether Industries Limited
DCMSHRIRAM.NS,India,DCM Shriram Limited
IEX.NS,India,Indian Energy Exchange Limited
HAPPSTMNDS.NS,India,Happiest Minds Technologies Limited
KIMS.NS,India,Krishna Institute of Medical Sciences Limited
ALKYLAMINE.NS,India,Alkyl Amines Chemicals Limited
CYIENT.NS,India,Cyient Limited
CHAMBLFERT.NS,India,Chambal Fertilizers & Chemicals Limited
ASAHIINDIA.NS,India,Asahi India Glass Limited
CASTROLIND.NS,India,Castrol India Limited
BRIGADE.NS,India,Brigade Enterprises Limited
KALYANKJIL.NS,India,Kalyan Jewellers India Limited
TTML.NS,India,Tata Teleservices (Maharashtra) Limited
VGUARD.NS,India,V-Guard Industries Limited
NLCINDIA.NS,India,NLC India Limited
LAXMIMACH.NS,India,Lakshmi Machine Works Limited
TRITURBINE.NS,India,Triveni Turbine Limited
FINPIPE.NS,India,Finolex Industries Limited
AKZOINDIA.NS,India,Akzo Nobel India Limited
MANAPPURAM.NS,India,Manappuram Finance Limited
EIHOTEL.NS,India,EIH Limited
CENTURYPLY.NS,India,Century Plyboards (India) Limited
NATCOPHARM.NS,India,Natco Pharma Limited
KIOCL.NS,India,KIOCL Limited
CHOLAHLDNG.NS,India,Cholamandalam Financial Holdings Limited
CAMPUS.NS,India,Campus Activewear Limited
CAMS.NS,India,Computer Age Management Services Limited
AMARAJABAT.NS,India,Amara Raja Batteries Limited
ZYDUSWELL.NS,India,Zydus Wellness Limited
BASF.NS,India,BASF India Limited
TEJASNET.NS,India,Tejas Networks Limited
APLLTD.NS,India,Alembic Pharmaceuticals Limited
MGL.NS,India,Mahanagar Gas Limited
GRINFRA.NS,India,G R Infraprojects Limited
ANGELONE.NS,India,Angel One Limited
SFL.NS,India,Sheela Foam Limited
TTKPRESTIG.NS,India,TTK Prestige Limited
APARINDS.NS,India,Apar Industries Limited
HINDCOPPER.NS,India,Hindustan Copper Limited
CDSL.NS,India,Central Depository Services (India) Limited
GODFRYPHLP.NS,India,Godfrey Phillips India Limited
RENUKA.NS,India,Shree Renuka Sugars Limited
CUB.NS,India,City Union Bank Limited
JKLAKSHMI.NS,India,JK Lakshmi Cement Limited
ANURAS.NS,India,Anupam Rasayan India Limited
MRPL.NS,India,Mangalore Refinery and Petrochemicals Limited
GESHIP.NS,India,The Great Eastern Shipping Company Limited
POLYMED.NS,India,Poly Medicure Limited
NSLNISP.NS,India,NMDC Steel Limited
BIKAJI.NS,India,Bikaji Foods International Limited
MOTILALOFS.NS,India,Motilal Oswal Financial Services Limited
ABSLAMC.NS,India,Aditya Birla Sun Life AMC Limited
CESC.NS,India,CESC Limited
TATAINVEST.NS,India,Tata Investment Corporation Limited
ALLCARGO.NS,India,Allcargo Logistics Limited
KALPATPOWR.NS,India,Kalpataru Power Transmission Limited
PNBHOUSING.NS,India,PNB Housing Finance Limited
HUDCO.NS,India,Housing & Urban Development Corporation Limited
ITI.NS,India,ITI Limited
ROUTE.NS,India,ROUTE MOBILE LIMITED
RITES.NS,India,RITES Limited
VTL.NS,India,Vardhman Textiles Limited
RBLBANK.NS,India,RBL Bank Limited
HFCL.NS,India,HFCL Limited
KARURVYSYA.NS,India,Karur Vysya Bank Limited
CERA.NS,India,Cera Sanitaryware Limited
EIDPARRY.NS,India,EID Parry India Limited
INGERRAND.NS,India,Ingersoll Rand (India) Limited
GALAXYSURF.NS,India,Galaxy Surfactants Limited
PPLPHARMA.NS,India,Piramal Pharma Limited
UTIAMC.NS,India,UTI Asset Management Company Limited
KRBL.NS,India,KRBL Limited
RAYMOND.NS,India,Raymond Limited
ASTRAZEN.NS,India,AstraZeneca Pharma India Limited
VIPIND.NS,India,VIP Industries Limited
ACI.NS,India,Archean Chemical Industries Limited
BALRAMCHIN.NS,India,Balrampur Chini Mills Limited
SUZLON.NS,India,Suzlon Energy Limited
GODREJAGRO.NS,India,Godrej Agrovet Limited
GNFC.NS,India,Gujarat Narmada Valley Fertilizers and Chemicals Limited
ERIS.NS,India,Eris Lifesciences Limited
PGHL.NS,India,Procter & Gamble Health Limited
MEDPLUS.NS,India,Medplus Health Services Limited
SAPPHIRE.NS,India,Sapphire Foods India Limited
DATAPATTNS.NS,India,Data Patterns (India) Limited
SUNCLAYLTD.NS,India,Sundaram Clayton Limited
JBMA.NS,India,JBM Auto Limited
EASEMYTRIP.NS,India,Easy Trip Planners Limited
CCL.NS,India,CCL Products (India) Limited
EQUITASBNK.NS,India,Equitas Small Finance Bank Limited
CHALET.NS,India,Chalet Hotels Limited
RAINBOW.NS,India,Rainbow Childrens Medicare Limited
PNCINFRA.NS,India,PNC Infratech Limited
FSL.NS,India,Firstsource Solutions Limited
KSB.NS,India,Ksb Limited
BSOFT.NS,India,BIRLASOFT LIMITED
KNRCON.NS,India,KNR Constructions Limited
SHOPERSTOP.NS,India,Shoppers Stop Limited
SYMPHONY.NS,India,Symphony Limited
CENTURYTEX.NS,India,Century Textiles & Industries Limited
CANFINHOME.NS,India,Can Fin Homes Limited
GRANULES.NS,India,Granules India Limited
TANLA.NS,India,Tanla Platforms Limited
JYOTHYLAB.NS,India,Jyothy Labs Limited
SPLPETRO.NS,India,Supreme Petrochem Limited
DEEPAKFERT.NS,India,Deepak Fertilizers and Petrochemicals Corporation Limited
CRAFTSMAN.NS,India,Craftsman Automation Limited
BIRLACORPN.NS,India,Birla Corporation Limited
BLS.NS,India,BLS International Services Limited
SHYAMMETL.NS,India,Shyam Metalics and Energy Limited
NCC.NS,India,NCC Limited
GMMPFAUDLR.NS,India,GMM Pfaudler Limited
LATENTVIEW.NS,India,Latent View Analytics Limited
USHAMART.NS,India,Usha Martin Limited
HOMEFIRST.NS,India,Home First Finance Company India Limited
JKPAPER.NS,India,JK Paper Limited
TMB.NS,India,Tamilnad Mercantile Bank Limited
JINDWORLD.NS,India,Jindal Worldwide Limited
METROPOLIS.NS,India,Metropolis Healthcare Limited
SAREGAMA.NS,India,Saregama India Limited
NBCC.NS,India,NBCC (India) Limited
ECLERX.NS,India,eClerx Services Limited
BALAMINES.NS,India,Balaji Amines Limited
WELSPUNIND.NS,India,Welspun India Limited
PRAJIND.NS,India,Praj Industries Limited
COCHINSHIP.NS,India,Cochin Shipyard Limited
ZENSARTECH.NS,India,Zensar Technologies Limited
AMBER.NS,India,Amber Enterprises India Limited
LEMONTREE.NS,India,Lemon Tree Hotels Limited
PRINCEPIPE.NS,India,Prince Pipes And Fittings Limited
TRIVENI.NS,India,Triveni Engineering & Industries Limited
GARFIBRES.NS,India,Garware Technical Fibres Limited
LXCHEM.NS,India,Laxmi Organic Industries Limited
STLTECH.NS,India,Sterlite Technologies Limited
CEATLTD.NS,India,CEAT Limited
BSE.NS,India,BSE Limited
SPARC.NS,India,Sun Pharma Advanced Research Company Limited
ALOKINDS.NS,India,Alok Industries Limited
ORIENTELEC.NS,India,Orient Electric Limited
INDIACEM.NS,India,The India Cements Limited
JUBLINGREA.NS,India,Jubilant Ingrevia Limited
KIRLOSENG.NS,India,Kirloskar Oil Engines Limited
TCIEXP.NS,India,TCI Express Limited
JMFINANCIL.NS,India,JM Financial Limited
NETWORK18.NS,India,Network18 Media & Investments Limited
BBTC.NS,India,Bombay Burmah Trading Corporation Limited
SWANENERGY.NS,India,Swan Energy Limited
GPPL.NS,India,Gujarat Pipavav Port Limited
KAYNES.NS,India,Kaynes Technology India Limited
VRLLOG.NS,India,VRL Logistics Limited
INTELLECT.NS,India,Intellect Design Arena Limited
SWSOLAR.NS,India,Sterling and Wilson Renewable Energy Limited
CHEMPLASTS.NS,India,Chemplast Sanmar Limited
QUESS.NS,India,Quess Corp Limited
ROLEXRINGS.NS,India,Rolex Rings Limited
MAHLIFE.NS,India,Mahindra Lifespace Developers Limited
ESABINDIA.NS,India,Esab India Limited
MHRIL.NS,India,Mahindra Holidays & Resorts India Limited
GOCOLORS.NS,India,Go Fashion (India) Limited
HGS.NS,India,Hinduja Global Solutions Limited
BORORENEW.NS,India,BOROSIL RENEWABLES LIMITED
GAEL.NS,India,Gujarat Ambuja Exports Limited
MAPMYINDIA.NS,India,C.E. Info Systems Limited
PRSMJOHNSN.NS,India,Prism Johnson Limited
RUSTOMJEE.NS,India,Keystone Realtors Limited
IRCON.NS,India,Ircon International Limited
RCF.NS,India,Rashtriya Chemicals and Fertilizers Limited
WELCORP.NS,India,Welspun Corp Limited
BEML.NS,India,BEML Limited
GRSE.NS,India,Garden Reach Shipbuilders & Engineers Limited
EPL.NS,India,EPL Limited
MINDACORP.NS,India,Minda Corporation Limited
